# li_ion_capacity PV_power SOFC_power SOEC_power battery_power load SoCH2 EMS_State net_power energy_deficit energy_loss
0.200000 0.000000 300.000000 0.000000 0.000000 126.317055 1.000000 4.000000 -126.317055 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 94.990371 0.989172 4.000000 -94.990371 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 88.927156 0.978345 4.000000 -88.927156 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 79.832357 0.967517 4.000000 -79.832357 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 82.863957 0.956689 4.000000 -82.863957 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 85.895557 0.945862 4.000000 -85.895557 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 90.948223 0.935034 4.000000 -90.948223 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.924206 4.000000 -81.853424 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 69.727024 0.913379 4.000000 -69.727024 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.902551 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.891723 4.000000 -80.842890 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 76.800757 0.880896 4.000000 -76.800757 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 78.821824 0.870068 4.000000 -78.821824 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.859240 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.848413 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 87.916623 0.837585 4.000000 -87.916623 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 86.906090 0.826757 4.000000 -86.906090 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.815929 4.000000 -64.674358 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.805102 4.000000 -64.674358 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.794274 4.000000 -60.632225 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.783446 4.000000 -81.853424 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.772619 4.000000 -80.842890 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.761791 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 65.684891 0.750963 4.000000 -65.684891 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.740136 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 84.885023 0.729308 4.000000 -84.885023 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 75.790224 0.718480 4.000000 -75.790224 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.707653 4.000000 -61.642758 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 66.695425 0.696825 4.000000 -66.695425 0.000000 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 70.737558 0.685997 4.000000 -70.737558 0.000000 0.000000
0.200000 52.942880 300.000000 0.000000 0.000000 73.769158 0.675170 4.000000 -20.826277 0.000000 0.000000
0.200000 109.265273 0.000000 0.000000 -2.148380 107.116893 0.664342 1.000000 2.148380 0.000000 0.000000
