# li_ion_capacity PV_power SOFC_power SOEC_power battery_power load SoCH2 EMS_State net_power energy_deficit energy_loss
0.200000 0.000000 300.000000 0.000000 0.000000 126.317055 1.000000 4.000000 -126.317055 -173.682945 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 94.990371 0.997015 4.000000 -94.990371 -205.009629 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 88.927156 0.994029 4.000000 -88.927156 -211.072844 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 79.832357 0.991044 4.000000 -79.832357 -220.167643 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 82.863957 0.988059 4.000000 -82.863957 -217.136043 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 85.895557 0.985073 4.000000 -85.895557 -214.104443 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 90.948223 0.982088 4.000000 -90.948223 -209.051777 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.979103 4.000000 -81.853424 -218.146576 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 69.727024 0.976117 4.000000 -69.727024 -230.272976 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.973132 4.000000 -60.632225 -239.367775 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.970147 4.000000 -80.842890 -219.157110 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 76.800757 0.967161 4.000000 -76.800757 -223.199243 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 78.821824 0.964176 4.000000 -78.821824 -221.178176 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.961191 4.000000 -60.632225 -239.367775 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.958205 4.000000 -60.632225 -239.367775 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 87.916623 0.955220 4.000000 -87.916623 -212.083377 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 86.906090 0.952235 4.000000 -86.906090 -213.093910 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.949249 4.000000 -64.674358 -235.325642 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 64.674358 0.946264 4.000000 -64.674358 -235.325642 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 60.632225 0.943278 4.000000 -60.632225 -239.367775 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 81.853424 0.940293 4.000000 -81.853424 -218.146576 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 80.842890 0.937308 4.000000 -80.842890 -219.157110 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.934322 4.000000 -61.642758 -238.357242 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 65.684891 0.931337 4.000000 -65.684891 -234.315109 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.928352 4.000000 -61.642758 -238.357242 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 84.885023 0.925366 4.000000 -84.885023 -215.114977 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 75.790224 0.922381 4.000000 -75.790224 -224.209776 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 61.642758 0.919396 4.000000 -61.642758 -238.357242 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 66.695425 0.916410 4.000000 -66.695425 -233.304575 0.000000
0.200000 0.000000 300.000000 0.000000 0.000000 70.737558 0.913425 4.000000 -70.737558 -229.262442 0.000000
0.200000 54.413516 300.000000 0.000000 0.000000 73.769158 0.910440 4.000000 -19.355642 -280.644358 0.000000
0.200000 112.300419 0.000000 0.000000 -5.183526 107.116893 0.907454 1.000000 5.183526 0.000000 0.000000
0.200450 171.459405 0.000000 0.000000 -65.353183 106.106222 0.907454 1.000000 65.353183 0.000000 0.000000
0.206123 231.421991 0.000000 0.000000 -104.094372 127.327619 0.907454 1.000000 104.094372 0.000000 0.000000
0.215159 414.453550 0.000000 0.000000 -226.493813 187.959737 0.907454 1.000000 226.493813 0.000000 0.000000
0.234820 600.412908 0.000000 0.000000 -402.347808 198.065100 0.907454 1.000000 402.347808 0.000000 0.000000
